"название";"дата";"время";" размер"
"p5-Catalyst-Devel-1.36p0.tgz";"25-Feb-2016";"02:22";"     63K"
"p5-Catalyst-Engine-Apache-1.16p0.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Catalyst-Helper-Controller-Scaffold-0.04p0.tgz";"25-Feb-2016";"02:22";5108
"p5-Catalyst-Log-Log4perl-1.06.tgz";"25-Feb-2016";"02:22";7602
"p5-Catalyst-Manual-5.9002v0.tgz";"25-Feb-2016";"02:22";"    346K"
"p5-Catalyst-Model-CDBI-0.12.tgz";"25-Feb-2016";"02:22";5719
"p5-Catalyst-Model-DBI-0.20p1.tgz";"25-Feb-2016";"02:22";4964
"p5-Catalyst-Model-DBIC-Schema-0.59p0.tgz";"25-Feb-2016";"02:22";"     28K"
"p5-Catalyst-Model-DBIDM-0.04.tgz";"25-Feb-2016";"02:22";7197
"p5-Catalyst-Model-RDBO-0.03p0.tgz";"25-Feb-2016";"02:22";5386
"p5-Catalyst-Plugin-Authentication-0.10018p0.tgz";"25-Feb-2016";"02:22";"     67K"
"p5-Catalyst-Plugin-Authentication-Store-DBIC-0...>";"25-Feb-2016";"02:22";"     11K"
"p5-Catalyst-Plugin-Authentication-Store-Htpassw..>";"25-Feb-2016";"02:22";5856
"p5-Catalyst-Plugin-Authorization-ACL-0.16.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Catalyst-Plugin-Authorization-Roles-0.09p0.tgz";"25-Feb-2016";"02:22";5162
"p5-Catalyst-Plugin-C3-0.03p1.tgz";"25-Feb-2016";"02:22";5313
"p5-Catalyst-Plugin-Cache-0.10p0.tgz";"25-Feb-2016";"02:22";"     16K"
"p5-Catalyst-Plugin-Cache-FileCache-0.7p2.tgz";"25-Feb-2016";"02:22";3880
"p5-Catalyst-Plugin-Cache-Memcached-0.8p0v0.tgz";"25-Feb-2016";"02:22";3934
"p5-Catalyst-Plugin-Cache-Store-FastMmap-0.02p2.tgz";"25-Feb-2016";"02:22";4779
"p5-Catalyst-Plugin-Charsets-Japanese-0.06p1.tgz";"25-Feb-2016";"02:22";6582
"p5-Catalyst-Plugin-ConfigLoader-0.30p0.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Catalyst-Plugin-ConfigLoader-Environment-0.0..>";"25-Feb-2016";"02:22";5952
"p5-Catalyst-Plugin-DefaultEnd-0.08p0.tgz";"25-Feb-2016";"02:22";3936
"p5-Catalyst-Plugin-Email-0.09.tgz";"25-Feb-2016";"02:22";5133
"p5-Catalyst-Plugin-FormValidator-0.094p0.tgz";"25-Feb-2016";"02:22";4109
"p5-Catalyst-Plugin-HTML-Widget-1.1p3.tgz";"25-Feb-2016";"02:22";3997
"p5-Catalyst-Plugin-I18N-0.10p0.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Catalyst-Plugin-LogWarnings-0.03p0.tgz";"25-Feb-2016";"02:22";4430
"p5-Catalyst-Plugin-Markdown-0.01p1.tgz";"25-Feb-2016";"02:22";3441
"p5-Catalyst-Plugin-PageCache-0.31p0.tgz";"25-Feb-2016";"02:22";"     13K"
"p5-Catalyst-Plugin-Pluggable-0.04p2.tgz";"25-Feb-2016";"02:22";3899
"p5-Catalyst-Plugin-Prototype-1.33p1.tgz";"25-Feb-2016";"02:22";4492
"p5-Catalyst-Plugin-Session-0.32p0.tgz";"25-Feb-2016";"02:22";"     30K"
"p5-Catalyst-Plugin-Session-FastMmap-0.13p0.tgz";"25-Feb-2016";"02:22";5297
"p5-Catalyst-Plugin-Session-PerUser-0.05.tgz";"25-Feb-2016";"02:22";6175
"p5-Catalyst-Plugin-Session-State-Cookie-0.17p0.tgz";"25-Feb-2016";"02:22";6299
"p5-Catalyst-Plugin-Session-State-URI-0.15p0.tgz";"25-Feb-2016";"02:22";9090
"p5-Catalyst-Plugin-Session-Store-FastMmap-0.16.tgz";"25-Feb-2016";"02:22";5771
"p5-Catalyst-Plugin-Session-Store-File-0.18p0.tgz";"25-Feb-2016";"02:22";5033
"p5-Catalyst-Plugin-Singleton-0.02p2.tgz";"25-Feb-2016";"02:22";3513
"p5-Catalyst-Plugin-StackTrace-0.11p0.tgz";"25-Feb-2016";"02:22";6044
"p5-Catalyst-Plugin-Static-Simple-0.29p1.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Catalyst-Plugin-SubRequest-0.17p0.tgz";"25-Feb-2016";"02:22";4616
"p5-Catalyst-Plugin-Textile-0.01p3.tgz";"25-Feb-2016";"02:22";3335
"p5-Catalyst-Plugin-Unicode-0.93.tgz";"25-Feb-2016";"02:22";4222
"p5-Catalyst-Plugin-XMLRPC-2.01p0.tgz";"25-Feb-2016";"02:22";5866
"p5-Catalyst-Runtime-5.90006p2.tgz";"25-Feb-2016";"02:22";"    181K"
"p5-Catalyst-View-JSON-0.36.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Catalyst-View-Mason-0.19.tgz";"25-Feb-2016";"02:22";7223
"p5-Catalyst-View-TT-0.37p0.tgz";"25-Feb-2016";"02:22";"     19K"
"p5-Catalyst-View-TT-ForceUTF8-0.13.tgz";"25-Feb-2016";"02:22";5130
"p5-Catalyst-View-TT-FunctionGenerator-0.02.tgz";"25-Feb-2016";"02:22";5655
"p5-Catalyst-View-XSLT-0.09.tgz";"25-Feb-2016";"02:22";9034
"p5-CatalystX-Component-Traits-0.19.tgz";"25-Feb-2016";"02:22";5944
"p5-Chart-2.4.10.tgz";"25-Feb-2016";"02:22";"     91K"
"p5-Chart-Math-Axis-1.06.tgz";"25-Feb-2016";"02:22";7643
"p5-Chatbot-Eliza-1.06.tgz";"25-Feb-2016";"02:22";"     23K"
"p5-Chipcard-PCSC-1.4.14.tgz";"25-Feb-2016";"02:22";"     34K"
"p5-Class-Accessor-0.34p0.tgz";"25-Feb-2016";"02:22";"     15K"
"p5-Class-Accessor-Chained-0.01p1.tgz";"25-Feb-2016";"02:22";3981
"p5-Class-Accessor-Grouped-0.10012.tgz";"25-Feb-2016";"02:22";"     14K"
"p5-Class-Accessor-Lite-0.08.tgz";"25-Feb-2016";"02:22";5394
"p5-Class-AutoClass-1.56.tgz";"25-Feb-2016";"02:22";"     20K"
"p5-Class-Autouse-2.01p0.tgz";"25-Feb-2016";"02:22";"     18K"
"p5-Class-Base-0.06.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Class-C3-0.30.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Class-C3-Adopt-NEXT-0.14.tgz";"25-Feb-2016";"02:22";6911
"p5-Class-C3-Componentised-1.001000p0.tgz";"25-Feb-2016";"02:22";7121
"p5-Class-C3-XS-0.13.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Class-Classless-1.35p0.tgz";"25-Feb-2016";"02:22";"     33K"
"p5-Class-Container-0.12p1.tgz";"25-Feb-2016";"02:22";"     14K"
"p5-Class-DBI-3.0.16p2.tgz";"25-Feb-2016";"02:22";"     82K"
"p5-Class-DBI-AbstractSearch-0.07p0.tgz";"25-Feb-2016";"02:22";4558
"p5-Class-DBI-AsForm-2.42p1.tgz";"25-Feb-2016";"02:22";4943
"p5-Class-DBI-FromCGI-1.00p0.tgz";"25-Feb-2016";"02:22";6538
"p5-Class-DBI-FromForm-0.04p0.tgz";"25-Feb-2016";"02:22";3974
"p5-Class-DBI-Loader-0.32p0.tgz";"25-Feb-2016";"02:22";9430
"p5-Class-DBI-Loader-Relationship-1.2p0.tgz";"25-Feb-2016";"02:22";4296
"p5-Class-DBI-Pager-0.08p1.tgz";"25-Feb-2016";"02:22";4745
"p5-Class-DBI-Plugin-RetrieveAll-1.04p0.tgz";"25-Feb-2016";"02:22";4140
"p5-Class-DBI-Plugin-Type-0.02p2.tgz";"25-Feb-2016";"02:22";3702
"p5-Class-DBI-SQLite-0.11p0.tgz";"25-Feb-2016";"02:22";4013
"p5-Class-DBI-mysql-1.00p3.tgz";"25-Feb-2016";"02:22";5769
"p5-Class-Data-Accessor-0.04004.tgz";"25-Feb-2016";"02:22";5751
"p5-Class-Data-Inheritable-0.08p0.tgz";"25-Feb-2016";"02:22";4837
"p5-Class-Date-1.1.15.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-Class-Default-1.51p1.tgz";"25-Feb-2016";"02:22";6223
"p5-Class-ErrorHandler-0.04.tgz";"25-Feb-2016";"02:22";4110
"p5-Class-Factory-1.06.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Class-Factory-Util-1.7.tgz";"25-Feb-2016";"02:22";4085
"p5-Class-Generate-1.15.tgz";"25-Feb-2016";"02:22";"     66K"
"p5-Class-Gomor-1.03.tgz";"25-Feb-2016";"02:22";8843
"p5-Class-Handle-1.07p2.tgz";"25-Feb-2016";"02:22";7778
"p5-Class-ISA-0.36p0.tgz";"25-Feb-2016";"02:22";6042
"p5-Class-Inner-0.200001.tgz";"25-Feb-2016";"02:22";5151
"p5-Class-InsideOut-1.13.tgz";"25-Feb-2016";"02:22";"     21K"
"p5-Class-Inspector-1.28p0.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Class-Load-0.23.tgz";"25-Feb-2016";"02:22";8102
"p5-Class-Load-XS-0.09p0.tgz";"25-Feb-2016";"02:22";8477
"p5-Class-Loader-2.03p1.tgz";"25-Feb-2016";"02:22";5592
"p5-Class-MakeMethods-1.01p1.tgz";"25-Feb-2016";"02:22";"    234K"
"p5-Class-Meta-0.66.tgz";"25-Feb-2016";"02:22";"     64K"
"p5-Class-Meta-Express-0.13.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Class-Method-Modifiers-2.11.tgz";"25-Feb-2016";"02:22";9914
"p5-Class-MethodMaker-2.24.tgz";"25-Feb-2016";"02:22";"    649K"
"p5-Class-MethodMapper-1.0p1.tgz";"25-Feb-2016";"02:22";7830
"p5-Class-Mix-0.005.tgz";"25-Feb-2016";"02:22";5907
"p5-Class-Multimethods-1.70p1.tgz";"25-Feb-2016";"02:22";"     23K"
"p5-Class-ReturnValue-0.55p1.tgz";"25-Feb-2016";"02:22";6087
"p5-Class-Singleton-1.5.tgz";"25-Feb-2016";"02:22";8184
"p5-Class-Std-0.013.tgz";"25-Feb-2016";"02:22";"     40K"
"p5-Class-Std-Fast-0.0.8.tgz";"25-Feb-2016";"02:22";"     13K"
"p5-Class-Std-Utils-0.0.2p2.tgz";"25-Feb-2016";"02:22";6415
"p5-Class-Throwable-0.13.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Class-Tiny-1.004.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Class-Trigger-0.14.tgz";"25-Feb-2016";"02:22";7295
"p5-Class-Unload-0.09.tgz";"25-Feb-2016";"02:22";3690
"p5-Class-Virtual-0.07.tgz";"25-Feb-2016";"02:22";6735
"p5-Class-WhiteHole-0.04p0.tgz";"25-Feb-2016";"02:22";3796
"p5-Class-XPath-1.4p0.tgz";"25-Feb-2016";"02:22";9965
"p5-Class-XSAccessor-1.19.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-Clipboard-0.13.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Clone-0.38.tgz";"25-Feb-2016";"02:22";8560
"p5-Color-Calc-1.074.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Compress-Bzip2-2.24.tgz";"25-Feb-2016";"02:22";"     47K"
"p5-Compress-LZO-1.08p6.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Config-Any-0.26.tgz";"25-Feb-2016";"02:22";"     16K"
"p5-Config-ApacheFormat-1.2p0.tgz";"25-Feb-2016";"02:22";"     16K"
"p5-Config-Auto-0.44.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Config-AutoConf-0.311.tgz";"25-Feb-2016";"02:22";"     35K"
"p5-Config-General-2.60.tgz";"25-Feb-2016";"02:22";"     50K"
"p5-Config-Grammar-1.10p0.tgz";"25-Feb-2016";"02:22";"     19K"
"p5-Config-IniFiles-2.88.tgz";"25-Feb-2016";"02:22";"     35K"
"p5-Config-Options-0.08p0.tgz";"25-Feb-2016";"02:22";6975
"p5-Config-Simple-4.59p1.tgz";"25-Feb-2016";"02:22";"     26K"
"p5-Config-Std-0.901.tgz";"25-Feb-2016";"02:22";"     15K"
"p5-Config-Tiny-2.14.tgz";"25-Feb-2016";"02:22";6523
"p5-Context-Preserve-0.01p0.tgz";"25-Feb-2016";"02:22";4663
"p5-Convert-ASCII-Armour-1.4p3.tgz";"25-Feb-2016";"02:22";5969
"p5-Convert-ASN1-0.27.tgz";"25-Feb-2016";"02:22";"     30K"
"p5-Convert-BER-1.32p0v0.tgz";"25-Feb-2016";"02:22";"     28K"
"p5-Convert-Base32-0.06.tgz";"25-Feb-2016";"02:22";4461
"p5-Convert-BinHex-1.125.tgz";"25-Feb-2016";"02:22";"     26K"
"p5-Convert-Binary-C-0.77.tgz";"25-Feb-2016";"02:22";"    289K"
"p5-Convert-Color-0.11.tgz";"25-Feb-2016";"02:22";"     24K"
"p5-Convert-PEM-0.08.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Convert-TNEF-0.18.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Convert-UU-0.5201p0.tgz";"25-Feb-2016";"02:22";6356
"p5-Convert-UUlib-1.4p1v1.tgz";"25-Feb-2016";"02:22";"     84K"
"p5-Cookie-Baker-0.06.tgz";"25-Feb-2016";"02:22";5305
"p5-Coro-6.42.tgz";"25-Feb-2016";"02:22";"    178K"
"p5-CouchDB-View-0.003p0.tgz";"25-Feb-2016";"02:22";7341
"p5-Crypt-Blowfish-2.14p2.tgz";"25-Feb-2016";"02:22";"     15K"
"p5-Crypt-Blowfish_PP-1.12p0.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Crypt-CAST5_PP-1.04.tgz";"25-Feb-2016";"02:22";"     20K"
"p5-Crypt-CBC-2.33.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Crypt-CipherSaber-1.01.tgz";"25-Feb-2016";"02:22";6162
"p5-Crypt-DES-2.07p1.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Crypt-DES-EDE3-0.01p1.tgz";"25-Feb-2016";"02:22";4149
"p5-Crypt-DH-0.07p0.tgz";"25-Feb-2016";"02:22";6193
"p5-Crypt-DSA-1.17.tgz";"25-Feb-2016";"02:22";"     18K"
"p5-Crypt-Eksblowfish-0.009.tgz";"25-Feb-2016";"02:22";"     34K"
"p5-Crypt-GpgME-0.09p3.tgz";"25-Feb-2016";"02:22";"     28K"
"p5-Crypt-IDEA-1.10p1.tgz";"25-Feb-2016";"02:22";8818
"p5-Crypt-OpenPGP-1.07.tgz";"25-Feb-2016";"02:22";"    100K"
"p5-Crypt-OpenSSL-Bignum-0.06.tgz";"25-Feb-2016";"02:22";"     21K"
"p5-Crypt-OpenSSL-DSA-0.15.tgz";"25-Feb-2016";"02:22";"     16K"
"p5-Crypt-OpenSSL-PKCS10-0.15.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Crypt-OpenSSL-RSA-0.28p1.tgz";"25-Feb-2016";"02:22";"     18K"
"p5-Crypt-OpenSSL-Random-0.11.tgz";"25-Feb-2016";"02:22";8189
"p5-Crypt-OpenSSL-X509-1.806p0.tgz";"25-Feb-2016";"02:22";"     53K"
"p5-Crypt-PasswdMD5-1.3p0.tgz";"25-Feb-2016";"02:22";5548
"p5-Crypt-Primes-0.50p1.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-Crypt-RC4-2.02p2.tgz";"25-Feb-2016";"02:22";5110
"p5-Crypt-RC5-2.00.tgz";"25-Feb-2016";"02:22";4324
"p5-Crypt-RIPEMD160-0.06.tgz";"25-Feb-2016";"02:22";"     18K"
"p5-Crypt-RSA-1.99p0.tgz";"25-Feb-2016";"02:22";"     39K"
"p5-Crypt-Random-1.25p2.tgz";"25-Feb-2016";"02:22";8665
"p5-Crypt-Rijndael-1.13.tgz";"25-Feb-2016";"02:22";"     16K"
"p5-Crypt-SSLeay-0.72p2.tgz";"25-Feb-2016";"02:22";"     38K"
"p5-Crypt-SaltedHash-0.09.tgz";"25-Feb-2016";"02:22";8779
"p5-Crypt-Serpent-1.01p5.tgz";"25-Feb-2016";"02:22";"     19K"
"p5-Crypt-SmbHash-0.12p3.tgz";"25-Feb-2016";"02:22";9720
"p5-Crypt-TripleDES-0.24p1.tgz";"25-Feb-2016";"02:22";8451
"p5-Crypt-Twofish-2.17p2.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Crypt-X509-0.51p0.tgz";"25-Feb-2016";"02:22";"     16K"
"p5-Curses-1.32.tgz";"25-Feb-2016";"02:22";"     79K"
"p5-Curses-UI-0.9609.tgz";"25-Feb-2016";"02:22";"    169K"
"p5-CursesWidgets-1.997p3.tgz";"25-Feb-2016";"02:22";"     52K"
"p5-DBD-CSV-0.48.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-DBD-Chart-0.82p0.tgz";"25-Feb-2016";"02:22";"     67K"
"p5-DBD-LDAP-0.22.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-DBD-Mock-1.45.tgz";"25-Feb-2016";"02:22";"     36K"
"p5-DBD-Pg-3.5.3.tgz";"25-Feb-2016";"02:22";"    159K"
"p5-DBD-SQLite-1.46v0.tgz";"25-Feb-2016";"02:22";"    133K"
"p5-DBD-SQLite2-0.33p6.tgz";"25-Feb-2016";"02:22";"    183K"
"p5-DBD-Sybase-1.15.tgz";"25-Feb-2016";"02:22";"    114K"
"p5-DBD-mysql-4.033.tgz";"25-Feb-2016";"02:22";"    153K"
"p5-DBD-mysqlPP-0.07.tgz";"25-Feb-2016";"02:22";9889
"p5-DBI-1.633.tgz";"25-Feb-2016";"02:22";"    767K"
"p5-DBI-Shell-11.95p0.tgz";"25-Feb-2016";"02:22";"     45K"
"p5-DBICx-TestDatabase-0.05.tgz";"25-Feb-2016";"02:22";5121
"p5-DBIx-Class-0.082820.tgz";"25-Feb-2016";"02:22";"    646K"
"p5-DBIx-Class-Cursor-Cached-1.001002.tgz";"25-Feb-2016";"02:22";4273
"p5-DBIx-Class-DynamicDefault-0.04.tgz";"25-Feb-2016";"02:22";4512
"p5-DBIx-Class-HTMLWidget-0.16.tgz";"25-Feb-2016";"02:22";5675
"p5-DBIx-Class-IntrospectableM2M-0.001002.tgz";"25-Feb-2016";"02:22";4589
"p5-DBIx-Class-Schema-Loader-0.07015p1.tgz";"25-Feb-2016";"02:22";"    115K"
"p5-DBIx-Class-TimeStamp-0.14.tgz";"25-Feb-2016";"02:22";4024
"p5-DBIx-Class-UUIDColumns-0.02006.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-DBIx-Class-Validation-0.02005.tgz";"25-Feb-2016";"02:22";5552
"p5-DBIx-Connector-0.53.tgz";"25-Feb-2016";"02:22";"     24K"
"p5-DBIx-ContextualFetch-1.03p1.tgz";"25-Feb-2016";"02:22";5222
"p5-DBIx-DBSchema-0.32p1.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-DBIx-DWIW-0.50.tgz";"25-Feb-2016";"02:22";"     30K"
"p5-DBIx-DataModel-1.09p1.tgz";"25-Feb-2016";"02:22";"    151K"
"p5-DBIx-Migration-0.07.tgz";"25-Feb-2016";"02:22";5816
"p5-DBIx-SearchBuilder-1.66.tgz";"25-Feb-2016";"02:22";"     85K"
"p5-DBIx-Simple-1.35.tgz";"25-Feb-2016";"02:22";"     22K"
"p5-DBIx-XHTML_Table-1.47.tgz";"25-Feb-2016";"02:22";"     25K"
"p5-DBM-Deep-2.0013.tgz";"25-Feb-2016";"02:22";"     91K"
"p5-DNS-ZoneParse-1.10.tgz";"25-Feb-2016";"02:22";"     18K"
"p5-Dancer-1.3202.tgz";"25-Feb-2016";"02:22";"    332K"
"p5-Dancer-Plugin-Database-Core-0.13.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Dancer-Plugin-Thumbnail-0.12.tgz";"25-Feb-2016";"02:22";7739
"p5-Dancer2-0.166001.tgz";"25-Feb-2016";"02:22";"    343K"
"p5-Dancer2-Plugin-Ajax-0.200000.tgz";"25-Feb-2016";"02:22";4214
"p5-Dancer2-Plugin-Auth-Tiny-0.005.tgz";"25-Feb-2016";"02:22";6322
"p5-Dancer2-Plugin-DBIC-0.0008.tgz";"25-Feb-2016";"02:22";6297
"p5-Dancer2-Plugin-Database-2.13.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Danga-Socket-1.61p1.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Data-AMF-0.09p0.tgz";"25-Feb-2016";"02:22";"     18K"
"p5-Data-Alias-1.20.tgz";"25-Feb-2016";"02:22";"     35K"
"p5-Data-Buffer-0.04p1.tgz";"25-Feb-2016";"02:22";7814
"p5-Data-Compare-1.22p0.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Data-Dump-1.23.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Data-Dump-Streamer-2.39.tgz";"25-Feb-2016";"02:22";"     65K"
"p5-Data-Dumper-Concise-2.022.tgz";"25-Feb-2016";"02:22";7668
"p5-Data-Dumper-Simple-0.11p0.tgz";"25-Feb-2016";"02:22";7786
"p5-Data-Flow-1.02p0.tgz";"25-Feb-2016";"02:22";6791
"p5-Data-FormValidator-4.63p1.tgz";"25-Feb-2016";"02:22";"     66K"
"p5-Data-GUID-0.048.tgz";"25-Feb-2016";"02:22";6511
"p5-Data-HexDump-0.02p1.tgz";"25-Feb-2016";"02:22";4832
"p5-Data-Hierarchy-0.34p1.tgz";"25-Feb-2016";"02:22";8785
"p5-Data-ICal-0.22.tgz";"25-Feb-2016";"02:22";"     34K"
"p5-Data-ICal-TimeZone-1.23p0.tgz";"25-Feb-2016";"02:22";"     58K"
"p5-Data-Lazy-0.6p0.tgz";"25-Feb-2016";"02:22";8521
"p5-Data-Munge-0.095.tgz";"25-Feb-2016";"02:22";8444
"p5-Data-OptList-0.109.tgz";"25-Feb-2016";"02:22";6123
"p5-Data-Page-2.02p0.tgz";"25-Feb-2016";"02:22";6021
"p5-Data-Pageset-1.06p0.tgz";"25-Feb-2016";"02:22";6649
"p5-Data-Password-1.12.tgz";"25-Feb-2016";"02:22";5907
"p5-Data-PowerSet-0.05p0.tgz";"25-Feb-2016";"02:22";6394
"p5-Data-Random-0.12.tgz";"25-Feb-2016";"02:22";"    139K"
"p5-Data-RandomPerson-0.50.tgz";"25-Feb-2016";"02:22";"    315K"
"p5-Data-ShowTable-4.6.tgz";"25-Feb-2016";"02:22";"     46K"
"p5-Data-Stag-0.14.tgz";"25-Feb-2016";"02:22";"    109K"
"p5-Data-Structure-Util-0.16.tgz";"25-Feb-2016";"02:22";"     19K"
"p5-Data-Types-0.09.tgz";"25-Feb-2016";"02:22";7548
"p5-Data-URIEncode-0.11p0.tgz";"25-Feb-2016";"02:22";8810
"p5-Data-UUID-1.221.tgz";"25-Feb-2016";"02:22";"     14K"
"p5-Data-Uniqid-0.12.tgz";"25-Feb-2016";"02:22";3870
"p5-Data-VString-0.000004p0.tgz";"25-Feb-2016";"02:22";7817
"p5-Data-Validate-0.09.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-Data-Validate-IP-0.25.tgz";"25-Feb-2016";"02:22";9660
"p5-Data-Validate-Struct-0.10.tgz";"25-Feb-2016";"02:22";"     13K"
"p5-Data-Visitor-0.27p0.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Date-Calc-6.4.tgz";"25-Feb-2016";"02:22";"    185K"
"p5-Date-Extract-0.05.tgz";"25-Feb-2016";"02:22";7382
"p5-Date-Handler-1.2p1.tgz";"25-Feb-2016";"02:22";"     30K"
"p5-Date-ICal-2.678.tgz";"25-Feb-2016";"02:22";"     21K"
"p5-Date-Leapyear-1.72p0.tgz";"25-Feb-2016";"02:22";3160
"p5-Date-Simple-3.03p0.tgz";"25-Feb-2016";"02:22";"     27K"
"p5-Date-Tolkien-Shire-1.13p2.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-DateManip-6.39.tgz";"25-Feb-2016";"02:22";"      2M"
"p5-DateTime-1.07p2v0.tgz";"25-Feb-2016";"02:22";"     77K"
"p5-DateTime-Calendar-Mayan-0.0601p1.tgz";"25-Feb-2016";"02:22";8163
"p5-DateTime-Cron-Simple-0.2p0.tgz";"25-Feb-2016";"02:22";4219
"p5-DateTime-Event-ICal-0.13.tgz";"25-Feb-2016";"02:22";9716
"p5-DateTime-Event-Recurrence-0.18.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-DateTime-Format-Builder-0.81p0v0.tgz";"25-Feb-2016";"02:22";"     41K"
"p5-DateTime-Format-HTTP-0.42.tgz";"25-Feb-2016";"02:22";6702
"p5-DateTime-Format-ICal-0.09p1.tgz";"25-Feb-2016";"02:22";8525
"p5-DateTime-Format-ISO8601-0.08v0.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-DateTime-Format-Mail-0.402v0.tgz";"25-Feb-2016";"02:22";9094
"p5-DateTime-Format-MySQL-0.05.tgz";"25-Feb-2016";"02:22";4458
"p5-DateTime-Format-Natural-0.76p1.tgz";"25-Feb-2016";"02:22";"     22K"
"p5-DateTime-Format-Pg-0.16011.tgz";"25-Feb-2016";"02:22";"     11K"
"p5-DateTime-Format-SQLite-0.11.tgz";"25-Feb-2016";"02:22";5187
"p5-DateTime-Format-Strptime-1.54p0v0.tgz";"25-Feb-2016";"02:22";"     15K"
"p5-DateTime-Format-W3CDTF-0.06.tgz";"25-Feb-2016";"02:22";5368
"p5-DateTime-Locale-0.46.tgz";"25-Feb-2016";"02:22";"    734K"
"p5-DateTime-Precise-1.05.tgz";"25-Feb-2016";"02:22";"     37K"
"p5-DateTime-Set-0.3600.tgz";"25-Feb-2016";"02:22";"     29K"
"p5-DateTime-TimeZone-1.64p1.tgz";"25-Feb-2016";"02:22";"    844K"
"p5-Declare-Constraints-Simple-0.03p1.tgz";"25-Feb-2016";"02:22";"     30K"
"p5-Devel-Caller-2.06p1.tgz";"25-Feb-2016";"02:22";8560
"p5-Devel-CheckBin-0.04.tgz";"25-Feb-2016";"02:22";3655
"p5-Devel-CheckLib-1.02.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Devel-Cover-1.21.tgz";"25-Feb-2016";"02:22";"    139K"
"p5-Devel-Cover-Report-Clover-0.35.tgz";"25-Feb-2016";"02:22";9452
"p5-Devel-Cycle-1.12.tgz";"25-Feb-2016";"02:22";7614
"p5-Devel-Declare-0.006018.tgz";"25-Feb-2016";"02:22";"     32K"
"p5-Devel-FastProf-0.08p4.tgz";"25-Feb-2016";"02:22";"     17K"
"p5-Devel-FindRef-1.422p1.tgz";"25-Feb-2016";"02:22";"     13K"
"p5-Devel-Gladiator-0.04p1.tgz";"25-Feb-2016";"02:22";7221
"p5-Devel-GlobalDestruction-0.13.tgz";"25-Feb-2016";"02:22";4342
"p5-Devel-Leak-0.03p5.tgz";"25-Feb-2016";"02:22";8466
"p5-Devel-Leak-Object-1.01.tgz";"25-Feb-2016";"02:22";6520
"p5-Devel-NYTProf-6.02.tgz";"25-Feb-2016";"02:22";"    401K"
"p5-Devel-PartialDump-0.13p0.tgz";"25-Feb-2016";"02:22";8471
"p5-Devel-SawAmpersand-0.33p1.tgz";"25-Feb-2016";"02:22";8606
"p5-Devel-Size-0.80.tgz";"25-Feb-2016";"02:22";"     13K"
"p5-Devel-Size-Report-0.13.tgz";"25-Feb-2016";"02:22";"     12K"
"p5-Devel-SmallProf-2.02p1.tgz";"25-Feb-2016";"02:22";8078
"p5-Devel-StackTrace-2.00.tgz";"25-Feb-2016";"02:22";"     10K"
"p5-Devel-StackTrace-AsHTML-0.14.tgz";"25-Feb-2016";"02:22";5749
"p5-Devel-Symdump-2.15v0.tgz";"25-Feb-2016";"02:22";8337
"p5-Devel-Trace-0.12.tgz";"25-Feb-2016";"02:22";4673
